7.453381618777161088e-07,-2.765606864143085801e-08,6.306491908100194263e-09,1.525211991882276883e-07,2.374145800230581663e-07,7.812238149700705923e-08,8.022353859561491645e-08,4.174747406175832570e-08,-1.269983333787311388e-08,-9.499401232706243707e-08,6.310010872588720868e-08,3.101421050686721359e-06,-4.236536960224359692e-07,-1.815557208496641486e-06,5.015873073041960065e-07,-5.168908381746792776e-08,-1.595931601913386711e-07,-2.019847433479310246e-07,-6.506845520819263459e-07,-5.303676032125043710e-08,1.049446284664230950e-05
-2.765606864143086132e-08,5.666396552980005536e-07,5.820141961911342510e-08,2.291723752337429499e-08,-4.555667322446659528e-09,4.570326058398620624e-09,5.277621277553406269e-09,1.816439397179560239e-08,-1.362784759785815715e-08,-4.537397650936931662e-08,2.003966196237880292e-07,5.474166119164037306e-07,-8.190180850345213037e-08,6.091138452048323405e-09,-4.929822089094670843e-08,3.991297071976322655e-07,-1.138701927342292765e-08,-3.010648944342392115e-07,-4.414729247195930560e-08,4.429900137119170365e-08,2.695287315888518177e-06
6.306491908100193436e-09,5.820141961911343833e-08,4.182286717855213121e-07,3.024882819532274419e-07,-1.022855790081445411e-07,-1.046373356683292680e-07,1.907661707104329070e-07,-2.670192901966833699e-08,1.161112393044122501e-09,-3.577748551392092454e-08,-1.269996548152272054e-07,8.101366362655660048e-07,-1.697938404972833755e-08,-1.271677127919535973e-06,-1.379861241634563703e-08,5.680936850283400947e-08,1.426662278001779976e-08,1.666279053037461483e-06,1.432238176763835856e-07,-1.267263078172182027e-07,2.066676454369100512e-06
1.525211991882277148e-07,2.291723752337428506e-08,3.024882819532274419e-07,3.882528239700980899e-06,1.846317084727681282e-06,5.892579033199439189e-07,2.114245009130777781e-06,-9.557788744273232527e-10,9.889201337545574865e-08,2.092929623846045621e-07,-4.578460423044061605e-08,2.616078056188617137e-06,-3.931963287865207228e-07,-4.241672716614756293e-06,4.024445560381798039e-08,-1.689295693676512365e-09,-3.977406983406753532e-06,8.523083806500687627e-07,1.747057174909192348e-07,-1.039800725801137913e-06,6.543702926760483658e-05
2.374145800230581399e-07,-4.555667322446633058e-09,-1.022855790081445278e-07,1.846317084727681706e-06,8.463831334543528041e-06,3.247115036812494035e-06,4.957135349515441519e-07,1.397831147082106446e-08,1.004045167810352859e-07,-3.654636911547216191e-07,2.145855011605886883e-07,2.011313727151759723e-05,-2.940115111013831935e-06,-1.469657164531328571e-05,1.550856846862359796e-07,2.754163298261893921e-09,2.005746679253433258e-06,-4.536329049318258979e-06,9.013129848658332013e-07,-2.902605609484497210e-06,2.283007771185698725e-04
7.812238149700704600e-08,4.570326058398606562e-09,-1.046373356683292680e-07,5.892579033199439189e-07,3.247115036812494035e-06,1.371655937301213036e-06,1.348583690888460443e-07,1.114702350122912227e-08,3.172510835333519735e-08,-1.535628838372918127e-07,1.327370247711748871e-07,6.669100816925580660e-06,-9.671288178399560419e-07,-5.371108343109342215e-06,6.566594999443667879e-08,1.838236255476252979e-09,5.648283503634536911e-07,-2.076839900384168897e-06,1.578714934762248110e-06,-1.004095610018953006e-06,7.857122077929355969e-05
8.022353859561494292e-08,5.277621277553395515e-09,1.907661707104329070e-07,2.114245009130777781e-06,4.957135349515441519e-07,1.348583690888460443e-07,1.251002372166231374e-06,-1.065954268943292051e-08,5.369616174722449568e-08,9.593732516110003687e-08,-6.674166321344327465e-08,4.298191130370917633e-07,-9.497776464880866516e-08,-1.262176048933669913e-06,1.930641585446067602e-08,-1.445944930595073891e-08,-2.714223453975835365e-06,9.368483078941105895e-07,-1.246687625451967532e-07,-3.484299877739340135e-07,2.000044437682745464e-05
4.174747406175833893e-08,1.816439397179559578e-08,-2.670192901966833368e-08,-9.557788744273226323e-10,1.397831147082109093e-08,1.114702350122911896e-08,-1.065954268943292382e-08,3.488564675391723744e-07,-1.644221041583689907e-08,-1.078653533548437407e-08,3.438710631731575023e-08,1.434286359803062132e-06,-1.531191577256302791e-07,-1.516711573639665063e-06,3.925216291760931901e-08,1.532380002324917956e-08,-3.631631568589799674e-07,-1.889730734543855117e-07,7.827617673634114989e-07,-2.108496871209618783e-08,2.870293707943924208e-06
-1.269983333787310892e-08,-1.362784759785815715e-08,1.161112393044115264e-09,9.889201337545577512e-08,1.004045167810352859e-07,3.172510835333519735e-08,5.369616174722448907e-08,-1.644221041583690569e-08,2.989237624068091399e-07,-1.071377741255634928e-07,9.195470442951452913e-08,8.869763923745693581e-07,-7.148680145528195905e-08,-6.337711440737461930e-07,-4.045499289195259805e-08,2.442766232195024537e-08,-3.700853285268746568e-07,7.331126704823966741e-08,9.508747770070798799e-07,-8.679456463751064975e-08,4.608420059804033132e-06
-9.499401232706242384e-08,-4.537397650936931000e-08,-3.577748551392092454e-08,2.092929623846045357e-07,-3.654636911547216721e-07,-1.535628838372918127e-07,9.593732516110003687e-08,-1.078653533548436911e-08,-1.071377741255635060e-07,2.463415185633019402e-06,-8.064908253327132635e-08,-1.761889920676297241e-06,2.962357816421983639e-07,2.495521355440273896e-06,-2.324616252804858849e-08,3.895560558212902912e-09,-9.655729076443182629e-07,-1.467802290749854495e-07,1.692509061702783913e-06,7.807071767455865646e-09,-3.065194070545045565e-06
6.310010872588719544e-08,2.003966196237880292e-07,-1.269996548152272054e-07,-4.578460423044061605e-08,2.145855011605887412e-07,1.327370247711748607e-07,-6.674166321344327465e-08,3.438710631731575684e-08,9.195470442951452913e-08,-8.064908253327129988e-08,2.555900911287685403e-06,-2.556286603095688242e-06,2.541140396462862752e-07,2.394860234730754905e-06,5.186895906567193640e-08,2.008032164539703960e-07,-1.078261198098861159e-07,-2.270316759561673913e-06,-2.537239540379064502e-06,1.450438551533501685e-07,-5.798583186957993042e-06
3.101421050686721359e-06,5.474166119164038365e-07,8.101366362655655813e-07,2.616078056188617137e-06,2.011313727151759723e-05,6.669100816925580660e-06,4.298191130370918691e-07,1.434286359803061920e-06,8.869763923745692522e-07,-1.761889920676297029e-06,-2.556286603095688242e-06,5.045375167352707810e-04,-6.864094392713973266e-05,-3.364065885028999264e-04,1.436293711509146708e-06,3.067898455833741197e-07,9.540465984547638804e-06,-8.235303228768061539e-06,-3.203328347194198308e-06,-1.839494308823538185e-06,8.812842000817766412e-04
-4.236536960224358633e-07,-8.190180850345211713e-08,-1.697938404972829122e-08,-3.931963287865207228e-07,-2.940115111013831935e-06,-9.671288178399558301e-07,-9.497776464880862545e-08,-1.531191577256302526e-07,-7.148680145528194581e-08,2.962357816421984168e-07,2.541140396462862752e-07,-6.864094392713973266e-05,9.890792622834180013e-06,3.990339184729110617e-05,-1.931719931878576193e-07,-3.084510502634961968e-08,-1.229500862524370776e-06,1.406724552990789613e-06,1.115361088108634972e-06,1.389976078390615090e-07,-1.356809438115380941e-04
-1.815557208496641910e-06,6.091138452048305207e-09,-1.271677127919535973e-06,-4.241672716614756293e-06,-1.469657164531328571e-05,-5.371108343109342215e-06,-1.262176048933669702e-06,-1.516711573639665275e-06,-6.337711440737459812e-07,2.495521355440273049e-06,2.394860234730754058e-06,-3.364065885028999264e-04,3.990339184729111295e-05,3.950625932951597522e-04,-7.209034900611075086e-07,-1.516461019284829498e-07,-9.094102413059965761e-06,4.514188780756111875e-06,-1.624822164750628175e-05,3.425324513624679952e-06,-5.567911188093500018e-04
5.015873073041960065e-07,-4.929822089094670843e-08,-1.379861241634564365e-08,4.024445560381796715e-08,1.550856846862359796e-07,6.566594999443667879e-08,1.930641585446067271e-08,3.925216291760931239e-08,-4.045499289195259805e-08,-2.324616252804858187e-08,5.186895906567194963e-08,1.436293711509146708e-06,-1.931719931878575663e-07,-7.209034900611071909e-07,4.695105963660810934e-07,-5.111071527923359477e-08,-2.554506136544850219e-07,-2.915754670281035890e-07,8.973511307531054270e-10,-4.117139570313311593e-08,6.581305129721264927e-06
-5.168908381746792776e-08,3.991297071976322655e-07,5.680936850283400947e-08,-1.689295693676496235e-09,2.754163298261899711e-09,1.838236255476266627e-09,-1.445944930595073229e-08,1.532380002324917625e-08,2.442766232195023545e-08,3.895560558212893813e-09,2.008032164539703960e-07,3.067898455833739079e-07,-3.084510502634960645e-08,-1.516461019284829498e-07,-5.111071527923359477e-08,4.329986455123813812e-07,-5.386965587147912329e-08,-2.202295315305485628e-07,-1.742726429102996247e-07,-1.960321445850382030e-09,1.498893174471880542e-06
-1.595931601913386976e-07,-1.138701927342292269e-08,1.426662278001780307e-08,-3.977406983406753532e-06,2.005746679253433258e-06,5.648283503634537970e-07,-2.714223453975835788e-06,-3.631631568589799145e-07,-3.700853285268745509e-07,-9.655729076443180511e-07,-1.078261198098861027e-07,9.540465984547638804e-06,-1.229500862524370776e-06,-9.094102413059965761e-06,-2.554506136544849690e-07,-5.386965587147911668e-08,3.796693650398682196e-05,-5.942521899865451034e-06,4.575769874340583554e-06,-9.927921655547935606e-07,5.012049621144255580e-05
-2.019847433479310246e-07,-3.010648944342392115e-07,1.666279053037461271e-06,8.523083806500690804e-07,-4.536329049318259826e-06,-2.076839900384168897e-06,9.368483078941105895e-07,-1.889730734543855381e-07,7.331126704823965418e-08,-1.467802290749855554e-07,-2.270316759561673913e-06,-8.235303228768058151e-06,1.406724552990789613e-06,4.514188780756111875e-06,-2.915754670281035890e-07,-2.202295315305485363e-07,-5.942521899865449340e-06,2.397218952921290112e-05,-8.982262485203577307e-06,1.290212930989479164e-06,-9.126455166095412657e-05
-6.506845520819263459e-07,-4.414729247195933207e-08,1.432238176763836120e-07,1.747057174909192613e-07,9.013129848658336248e-07,1.578714934762248110e-06,-1.246687625451967797e-07,7.827617673634114989e-07,9.508747770070800916e-07,1.692509061702783489e-06,-2.537239540379064925e-06,-3.203328347194201696e-06,1.115361088108634549e-06,-1.624822164750628175e-05,8.973511307531203162e-10,-1.742726429102995453e-07,4.575769874340583554e-06,-8.982262485203577307e-06,2.336973910971041062e-04,-9.014471083846494311e-06,1.652000550921145765e-04
-5.303676032125044372e-08,4.429900137119171027e-08,-1.267263078172182027e-07,-1.039800725801137913e-06,-2.902605609484497210e-06,-1.004095610018953006e-06,-3.484299877739340665e-07,-2.108496871209618783e-08,-8.679456463751064975e-08,7.807071767455832559e-09,1.450438551533501685e-07,-1.839494308823538185e-06,1.389976078390614826e-07,3.425324513624680799e-06,-4.117139570313310931e-08,-1.960321445850382444e-09,-9.927921655547937724e-07,1.290212930989479164e-06,-9.014471083846494311e-06,1.943980059761932946e-06,-8.310255661373090090e-05
1.049446284664230950e-05,2.695287315888517330e-06,2.066676454369100088e-06,6.543702926760483658e-05,2.283007771185699268e-04,7.857122077929353258e-05,2.000044437682744447e-05,2.870293707943923784e-06,4.608420059804032285e-06,-3.065194070545043447e-06,-5.798583186957995583e-06,8.812842000817764244e-04,-1.356809438115380670e-04,-5.567911188093500018e-04,6.581305129721266621e-06,1.498893174471880119e-06,5.012049621144256257e-05,-9.126455166095414013e-05,1.652000550921146037e-04,-8.310255661373087380e-05,9.380116838353953074e-03
